Date,Daily Sunspot Number,Standard Deviation,Number of Observations,Indicator
13/8/2015,55,5.1,27,1
12/8/2015,66,4.7,27,1
11/8/2015,78,7.6,39,1
10/8/2015,69,4.6,36,1
9/8/2015,76,5.5,35,1
8/8/2015,93,4.8,37,1
7/8/2015,112,6.5,46,1
6/8/2015,108,7,47,1
5/8/2015,94,6.3,47,1
4/8/2015,90,6.2,35,1
3/8/2015,61,3.8,19,1
2/8/2015,53,4,29,1
1/8/2015,64,6.2,41,1
31/7/2015,69,2.7,21,1
30/7/2015,76,5,25,1
29/7/2015,67,6.5,38,1
28/7/2015,62,3.9,35,1
27/7/2015,51,3.9,33,1
26/7/2015,40,3.2,36,1
25/7/2015,34,2.5,23,1
24/7/2015,31,1.8,15,1
23/7/2015,29,1.8,25,1
22/7/2015,36,3.4,45,1
21/7/2015,36,2.7,44,1
20/7/2015,36,2.1,20,1
19/7/2015,44,3.4,34,1
18/7/2015,58,5.2,33,1
17/7/2015,50,3.4,37,1
16/7/2015,50,4,42,1
15/7/2015,43,2.7,17,1
14/7/2015,43,2.8,18,1
13/7/2015,53,5.1,22,1
12/7/2015,71,6.1,28,1
11/7/2015,92,5.5,32,1
10/7/2015,103,7.5,45,1
9/7/2015,110,8.3,36,1
8/7/2015,123,8.9,33,1
7/7/2015,112,11,41,1
6/7/2015,97,8.1,48,1
5/7/2015,109,5.2,27,1
4/7/2015,99,6.6,33,1
3/7/2015,88,6.2,33,1
2/7/2015,75,6.7,33,1
1/7/2015,54,4,25,1
30/6/2015,41,2.8,31,1
29/6/2015,39,2.9,26,1
28/6/2015,32,2.6,8,1
27/6/2015,21,1.1,18,1
26/6/2015,23,1.6,24,1
25/6/2015,27,1.9,24,1
24/6/2015,36,2.2,24,1
23/6/2015,45,1.9,20,1
22/6/2015,56,4.3,37,1
21/6/2015,61,5.8,36,1
20/6/2015,64,6.1,42,1
19/6/2015,68,5,21,1
18/6/2015,77,5.2,27,1
17/6/2015,80,7.9,35,1
16/6/2015,70,4.3,23,1
15/6/2015,54,4.3,24,1
14/6/2015,90,6.9,20,1
13/6/2015,97,8.7,36,1
12/6/2015,98,8.4,38,1
11/6/2015,95,5.8,27,1
10/6/2015,93,8.1,46,1
9/6/2015,92,5.5,24,1
8/6/2015,112,10.6,36,1
7/6/2015,124,9.6,35,1
6/6/2015,109,10,33,1
5/6/2015,90,5.7,20,1
4/6/2015,80,6.8,19,1
3/6/2015,49,4,25,1
2/6/2015,44,3.7,30,1
1/6/2015,27,1.8,17,1
31/5/2015,29,1.4,6,1
30/5/2015,31,3,22,1
29/5/2015,33,2.6,21,1
28/5/2015,12,0.9,23,1
27/5/2015,14,1.2,11,1
26/5/2015,53,5,47,1
25/5/2015,67,3.1,25,1
24/5/2015,78,4.7,44,1
23/5/2015,72,5.9,33,1
22/5/2015,73,3.8,23,1
21/5/2015,50,3.9,25,1
20/5/2015,59,3.7,22,1
19/5/2015,77,7.2,36,1
18/5/2015,101,6.7,39,1
17/5/2015,89,5.2,29,1
16/5/2015,103,7.4,32,1
15/5/2015,124,9.8,30,1
14/5/2015,164,12.4,36,1
13/5/2015,172,13.6,48,1
12/5/2015,165,14.6,38,1
11/5/2015,163,10.8,44,1
10/5/2015,163,11.4,39,1
9/5/2015,139,10.6,33,1
8/5/2015,150,10.1,33,1
7/5/2015,145,12.9,43,1
6/5/2015,124,10.7,35,1
5/5/2015,104,5.5,32,1
4/5/2015,103,6.3,15,1
3/5/2015,44,3.8,9,1
2/5/2015,34,2.2,15,1
1/5/2015,19,0.9,7,1
30/4/2015,15,0.9,19,1
29/4/2015,30,2.1,7,1
28/4/2015,41,4,22,1
27/4/2015,47,4.5,25,1
26/4/2015,65,5.3,17,1
25/4/2015,69,6.2,23,1
24/4/2015,83,6.2,43,1
23/4/2015,117,10.1,41,1
22/4/2015,138,12,44,1
21/4/2015,127,10.2,49,1
20/4/2015,128,11.9,46,1
19/4/2015,137,13.3,27,1
18/4/2015,140,13.2,39,1
17/4/2015,117,8.5,20,1
16/4/2015,100,9.8,29,1
15/4/2015,96,8.3,44,1
14/4/2015,105,8.1,29,1
13/4/2015,103,10.2,40,1
12/4/2015,86,7.7,44,1
11/4/2015,59,1.2,11,1
10/4/2015,41,3.4,22,1
9/4/2015,47,4.1,41,1
8/4/2015,43,3,22,1
7/4/2015,51,4.8,40,1
6/4/2015,53,3.5,22,1
5/4/2015,55,4.3,22,1
4/4/2015,54,3.9,18,1
3/4/2015,35,2,4,1
2/4/2015,35,3,24,1
