Date,Daily Sunspot Number,Standard Deviation,Number of Observations,Indicator
21/10/2011,194,10.2,19,1
20/10/2011,183,9.8,16,1
19/10/2011,141,6.9,19,1
18/10/2011,156,11.6,18,1
17/10/2011,176,11.7,20,1
16/10/2011,154,8.3,17,1
15/10/2011,148,9.5,13,1
14/10/2011,170,12.3,16,1
13/10/2011,161,8,16,1
12/10/2011,146,9.2,12,1
11/10/2011,124,9.2,10,1
10/10/2011,90,4.3,17,1
9/10/2011,79,3.9,15,1
8/10/2011,69,2.7,15,1
7/10/2011,89,6.4,18,1
6/10/2011,100,5.3,19,1
5/10/2011,100,8.2,13,1
4/10/2011,128,8.6,17,1
3/10/2011,113,8.2,23,1
2/10/2011,118,6.4,19,1
1/10/2011,118,8.8,20,1
30/9/2011,116,7.5,21,1
29/9/2011,128,7.9,21,1
28/9/2011,109,9,19,1
27/9/2011,103,7.7,20,1
26/9/2011,112,10.5,19,1
25/9/2011,122,9.8,19,1
24/9/2011,116,6,17,1
23/9/2011,91,7.1,19,1
22/9/2011,109,9.7,15,1
21/9/2011,108,8.3,12,1
20/9/2011,123,12.4,10,1
19/9/2011,142,10.2,17,1
18/9/2011,143,9.2,16,1
17/9/2011,160,13.2,15,1
16/9/2011,191,14.6,20,1
15/9/2011,191,11.9,17,1
14/9/2011,169,9.4,21,1
13/9/2011,145,8,21,1
12/9/2011,139,9.3,21,1
11/9/2011,94,7.1,16,1
10/9/2011,80,4.1,20,1
9/9/2011,72,4.1,14,1
8/9/2011,54,2.5,9,1
7/9/2011,72,5.4,20,1
6/9/2011,89,6,18,1
5/9/2011,114,8.2,21,1
4/9/2011,105,8.2,13,1
3/9/2011,140,9.5,20,1
2/9/2011,136,6.9,21,1
1/9/2011,131,8.3,23,1
31/8/2011,125,6.2,21,1
30/8/2011,90,6.1,18,1
29/8/2011,56,4.3,20,1
28/8/2011,64,4.9,20,1
27/8/2011,77,5.4,20,1
26/8/2011,86,7.9,17,1
25/8/2011,65,8.1,18,1
24/8/2011,70,5.9,19,1
23/8/2011,98,6.4,20,1
22/8/2011,92,7.3,18,1
21/8/2011,73,4.5,18,1
20/8/2011,59,5,21,1
19/8/2011,60,4.5,20,1
18/8/2011,59,4.6,22,1
17/8/2011,51,4,24,1
16/8/2011,31,3.6,23,1
15/8/2011,12,2.1,20,1
14/8/2011,0,2,14,1
13/8/2011,18,8.1,19,1
12/8/2011,29,4.7,20,1
11/8/2011,38,4.8,22,1
10/8/2011,36,3.2,21,1
9/8/2011,61,5.8,21,1
8/8/2011,70,4.8,21,1
7/8/2011,79,3.8,17,1
6/8/2011,79,3.8,15,1
5/8/2011,88,6.6,19,1
4/8/2011,92,5,21,1
3/8/2011,81,6.8,18,1
2/8/2011,95,8.5,20,1
1/8/2011,107,7.8,18,1
31/7/2011,99,4.2,15,1
30/7/2011,91,4.5,10,1
29/7/2011,90,7.1,17,1
28/7/2011,96,6.4,17,1
27/7/2011,63,6.4,17,1
26/7/2011,43,3.7,14,1
25/7/2011,29,4.3,17,1
24/7/2011,43,7.7,14,1
23/7/2011,43,3,19,1
22/7/2011,54,2.9,18,1
21/7/2011,60,4.2,16,1
20/7/2011,71,5.3,16,1
19/7/2011,109,5.3,19,1
18/7/2011,115,7.4,17,1
17/7/2011,93,4.7,21,1
16/7/2011,74,4.9,18,1
15/7/2011,82,5.5,22,1
14/7/2011,68,3.6,17,1
13/7/2011,68,5.9,13,1
12/7/2011,72,2.8,22,1
11/7/2011,75,4.3,23,1
10/7/2011,59,5.6,20,1
9/7/2011,49,4.9,20,1
8/7/2011,63,6,21,1
7/7/2011,38,3.7,18,1
6/7/2011,34,2.2,17,1
5/7/2011,32,2,20,1
4/7/2011,46,3.4,17,1
3/7/2011,41,2.6,16,1
2/7/2011,44,4.5,19,1
1/7/2011,56,2.2,19,1
30/6/2011,49,3.4,17,1
29/6/2011,41,5.3,19,1
28/6/2011,38,5.5,19,1
27/6/2011,15,2.1,19,1
26/6/2011,27,4.6,19,1
25/6/2011,50,2.9,16,1
24/6/2011,65,4.6,21,1
23/6/2011,58,4.6,20,1
22/6/2011,50,3.9,19,1
21/6/2011,50,8,20,1
20/6/2011,39,4.6,16,1
19/6/2011,47,4.5,14,1
18/6/2011,61,5.5,13,1
17/6/2011,59,3.6,20,1
16/6/2011,59,3.7,18,1
15/6/2011,52,3.3,19,1
14/6/2011,36,3.2,22,1
13/6/2011,15,2.5,15,1
12/6/2011,17,1.8,16,1
11/6/2011,23,3.3,15,1
10/6/2011,33,4.5,18,1
9/6/2011,39,4.9,21,1
8/6/2011,45,4,20,1
7/6/2011,58,3.4,16,1
6/6/2011,70,6.6,20,1
5/6/2011,80,6.2,17,1
4/6/2011,115,7,21,1
3/6/2011,130,7.5,18,1
2/6/2011,135,7.5,18,1
1/6/2011,126,6.9,18,1
31/5/2011,106,6.5,20,1
30/5/2011,115,4.5,23,1
29/5/2011,98,5.3,18,1
28/5/2011,73,4,19,1
27/5/2011,63,3.8,13,1
26/5/2011,42,2.9,19,1
25/5/2011,24,3.5,24,1
24/5/2011,11,1.7,23,1
23/5/2011,31,4.9,21,1
22/5/2011,56,9.5,19,1
21/5/2011,36,3.4,23,1
20/5/2011,35,2.1,22,1
19/5/2011,36,2,19,1
18/5/2011,41,3.8,18,1
17/5/2011,50,3.6,20,1
16/5/2011,57,3.3,16,1
15/5/2011,57,5.5,18,1
14/5/2011,52,4,22,1
13/5/2011,36,3.4,23,1
12/5/2011,46,4.5,19,1
11/5/2011,66,5.9,18,1
10/5/2011,90,7.8,18,1
9/5/2011,84,6.4,21,1
8/5/2011,63,6.6,18,1
7/5/2011,43,3.7,16,1
6/5/2011,45,3.9,22,1
5/5/2011,76,7.4,18,1
4/5/2011,76,7.6,23,1
3/5/2011,71,4.8,19,1
2/5/2011,55,4.3,19,1
1/5/2011,70,6.1,16,1
30/4/2011,80,4.1,19,1
29/4/2011,62,5,21,1
28/4/2011,62,5.1,18,1
27/4/2011,73,7.3,21,1
26/4/2011,74,7.6,19,1
25/4/2011,56,8.4,17,1
24/4/2011,64,7.9,16,1
23/4/2011,78,6,15,1
22/4/2011,87,7.1,18,1
21/4/2011,80,5.3,22,1
20/4/2011,73,5,20,1
19/4/2011,71,5.6,21,1
18/4/2011,71,4.9,20,1
17/4/2011,71,5.4,22,1
16/4/2011,92,9.6,20,1
15/4/2011,127,6.9,16,1
14/4/2011,123,10.5,13,1
13/4/2011,111,7.6,18,1
12/4/2011,92,4.6,20,1
11/4/2011,67,4.5,22,1
10/4/2011,56,4.4,20,1
9/4/2011,78,8,20,1
8/4/2011,84,5.4,18,1
7/4/2011,81,8,22,1
6/4/2011,57,3.7,18,1
5/4/2011,56,3.6,12,1
4/4/2011,67,3.9,20,1
3/4/2011,60,2.9,14,1
2/4/2011,63,4.4,20,1
1/4/2011,67,4.1,15,1
31/3/2011,87,10.5,14,1
30/3/2011,96,5.9,18,1
29/3/2011,104,6.9,23,1
28/3/2011,124,8.2,25,1
27/3/2011,118,7.7,19,1
26/3/2011,101,5.7,19,1
25/3/2011,97,8,21,1
24/3/2011,55,6.6,21,1
23/3/2011,42,3.8,23,1
22/3/2011,45,3.5,22,1
21/3/2011,24,1.1,18,1
20/3/2011,30,4.8,19,1
19/3/2011,32,4.9,16,1
18/3/2011,28,3,13,1
17/3/2011,38,5.6,8,1
16/3/2011,38,2.9,19,1
15/3/2011,48,3.6,18,1
14/3/2011,61,6.4,17,1
13/3/2011,93,8.6,14,1
12/3/2011,83,7.6,19,1
11/3/2011,83,5.1,20,1
10/3/2011,83,9.5,13,1
9/3/2011,113,9.8,18,1
8/3/2011,141,9.2,22,1
7/3/2011,138,11.1,20,1
6/3/2011,130,8.5,18,1
5/3/2011,116,8.8,13,1
4/3/2011,99,5.8,22,1
3/3/2011,73,8.9,19,1
2/3/2011,56,3.8,18,1
1/3/2011,62,6.1,17,1
28/2/2011,51,4.8,11,1
27/2/2011,44,2.5,14,1
26/2/2011,42,6.9,16,1
25/2/2011,13,4,14,1
24/2/2011,24,5.4,11,1
23/2/2011,31,1.9,16,1
22/2/2011,38,2.8,22,1
21/2/2011,47,4.2,12,1
20/2/2011,69,7.8,9,1
19/2/2011,82,4.5,10,1
18/2/2011,85,5.8,9,1
17/2/2011,65,4.6,17,1
16/2/2011,78,7.6,18,1
15/2/2011,83,7,18,1
14/2/2011,87,7.9,15,1
13/2/2011,78,5.8,11,1
12/2/2011,60,2.5,16,1
11/2/2011,57,4.5,13,1
10/2/2011,34,2.8,20,1
9/2/2011,51,2.7,21,1
8/2/2011,64,9.9,19,1
7/2/2011,15,2.8,20,1
6/2/2011,18,6.2,9,1
5/2/2011,26,4,12,1
4/2/2011,36,4.1,9,1
3/2/2011,29,2.3,16,1
2/2/2011,21,4.2,9,1
1/2/2011,24,2.8,12,1
31/1/2011,20,1.1,15,1
30/1/2011,19,2.1,17,1
29/1/2011,15,2.9,19,1
28/1/2011,13,3.3,18,1
27/1/2011,20,4,16,1
26/1/2011,25,1.6,14,1
25/1/2011,28,1.7,16,1
24/1/2011,29,1.7,12,1
23/1/2011,33,3.5,11,1
22/1/2011,32,2.4,13,1
21/1/2011,33,3.8,13,1
20/1/2011,29,3.1,17,1
19/1/2011,26,2.7,13,1
18/1/2011,32,2.3,13,1
17/1/2011,28,3.2,13,1
16/1/2011,20,2.5,16,1
15/1/2011,12,3.8,12,1
14/1/2011,0,2,8,1
13/1/2011,13,2.5,8,1
12/1/2011,22,2.2,8,1
11/1/2011,25,1.8,11,1
10/1/2011,26,3.4,15,1
9/1/2011,32,4.7,17,1
8/1/2011,25,3.5,13,1
7/1/2011,35,3.1,11,1
6/1/2011,28,4.5,7,1
5/1/2011,36,4,21,1
4/1/2011,48,4.1,14,1
3/1/2011,47,2.1,11,1
2/1/2011,48,3.4,15,1
1/1/2011,48,3.6,10,1
31/12/2010,42,3.2,10,1
30/12/2010,14,2.8,9,1
29/12/2010,19,1.5,15,1
28/12/2010,22,1.9,12,1
27/12/2010,17,2.2,13,1
26/12/2010,34,6.5,13,1
25/12/2010,25,5.6,12,1
24/12/2010,14,2.8,11,1
23/12/2010,17,5.8,8,1
22/12/2010,17,7.5,9,1
21/12/2010,0,2,10,1
20/12/2010,0,2,17,1
19/12/2010,0,2,9,1
18/12/2010,0,2,16,1
17/12/2010,12,1.8,15,1
16/12/2010,24,2.8,10,1
15/12/2010,14,2,15,1
14/12/2010,27,3.9,16,1
13/12/2010,47,5,14,1
12/12/2010,27,4.4,18,1
11/12/2010,27,4.6,11,1
10/12/2010,36,3.9,12,1
9/12/2010,29,2.6,18,1
8/12/2010,31,1.9,13,1
7/12/2010,31,3.2,11,1
6/12/2010,29,2.5,13,1
5/12/2010,44,3.7,11,1
4/12/2010,53,5.9,16,1
3/12/2010,41,3.3,16,1
2/12/2010,36,1.7,10,1
1/12/2010,32,2.3,10,1
30/11/2010,24,1.9,12,1
29/11/2010,29,2.6,5,1
28/11/2010,27,4.5,12,1
27/11/2010,13,2.8,13,1
26/11/2010,14,1.9,15,1
25/11/2010,24,3,16,1
24/11/2010,13,1.2,16,1
23/11/2010,26,3.1,16,1
22/11/2010,24,2.6,7,1
21/11/2010,27,2.6,13,1
20/11/2010,32,2.6,15,1
19/11/2010,42,2,15,1
18/11/2010,46,3.6,13,1
17/11/2010,56,2.7,11,1
16/11/2010,59,5,17,1
15/11/2010,61,5.4,19,1
14/11/2010,61,4.3,11,1
13/11/2010,69,5.5,11,1
12/11/2010,48,4.9,16,1
11/11/2010,51,5.4,14,1
10/11/2010,48,4.8,15,1
9/11/2010,30,2.9,10,1
8/11/2010,37,2.6,11,1
7/11/2010,37,2.8,11,1
6/11/2010,35,5.9,15,1
5/11/2010,27,4.6,13,1
4/11/2010,14,1.6,14,1
3/11/2010,18,2.5,18,1
2/11/2010,18,2.1,14,1
1/11/2010,21,3.1,16,1
31/10/2010,34,2.8,18,1
30/10/2010,33,4,17,1
29/10/2010,39,4,19,1
28/10/2010,31,3.5,16,1
27/10/2010,41,3.9,16,1
26/10/2010,63,4.3,18,1
25/10/2010,67,4.2,16,1
24/10/2010,60,4.3,16,1
23/10/2010,44,3,18,1
22/10/2010,36,2,18,1
21/10/2010,36,1.9,18,1
20/10/2010,51,4.6,16,1
19/10/2010,63,6.3,17,1
18/10/2010,60,4.5,19,1
17/10/2010,57,3.4,12,1
16/10/2010,49,2.7,12,1
15/10/2010,41,2,15,1
14/10/2010,37,3.7,10,1
13/10/2010,23,2.6,16,1
12/10/2010,13,1.2,20,1
11/10/2010,13,0.7,20,1
10/10/2010,13,2,17,1
9/10/2010,13,9.8,15,1
8/10/2010,0,2,17,1
7/10/2010,0,2,12,1
6/10/2010,0,2,13,1
5/10/2010,13,5.2,15,1
4/10/2010,21,6,19,1
3/10/2010,29,2.2,16,1
2/10/2010,27,3.2,12,1
1/10/2010,36,4.4,18,1
30/9/2010,48,5.9,13,1
29/9/2010,55,3.9,14,1
28/9/2010,55,4.5,11,1
27/9/2010,56,4,14,1
26/9/2010,49,3.2,12,1
25/9/2010,39,1.7,19,1
24/9/2010,39,2.1,15,1
23/9/2010,39,2.8,16,1
22/9/2010,36,3.2,19,1
21/9/2010,38,2.9,19,1
20/9/2010,39,3.5,19,1
19/9/2010,49,3.6,17,1
18/9/2010,51,4.1,18,1
17/9/2010,53,3.5,17,1
16/9/2010,43,3.2,18,1
15/9/2010,27,2.5,17,1
14/9/2010,27,4.1,12,1
13/9/2010,26,2.8,21,1
12/9/2010,13,1.9,16,1
11/9/2010,12,1.6,20,1
10/9/2010,16,12.7,14,1
9/9/2010,0,2,17,1
8/9/2010,0,2,13,1
7/9/2010,14,2.6,14,1
6/9/2010,29,3.6,21,1
5/9/2010,43,2.9,18,1
4/9/2010,58,6.1,17,1
3/9/2010,49,4.4,22,1
2/9/2010,58,3.9,21,1
1/9/2010,30,3.2,21,1
31/8/2010,30,1.6,24,1
30/8/2010,29,2.5,21,1
29/8/2010,27,1.6,23,1
28/8/2010,12,1.3,23,1
27/8/2010,12,1,21,1
26/8/2010,23,2.9,20,1
25/8/2010,23,2.9,22,1
24/8/2010,12,2.2,25,1
23/8/2010,0,2,22,1
22/8/2010,0,2,25,1
21/8/2010,0,2,26,1
20/8/2010,12,5.1,24,1
19/8/2010,15,4.7,22,1
18/8/2010,23,3.2,23,1
17/8/2010,26,2.2,17,1
16/8/2010,51,7.2,19,1
15/8/2010,38,3.4,15,1
14/8/2010,33,3.4,19,1
13/8/2010,41,4.2,22,1
12/8/2010,50,5.5,22,1
11/8/2010,67,4.6,25,1
10/8/2010,58,4.6,21,1
9/8/2010,55,3.3,20,1
8/8/2010,38,2.7,21,1
7/8/2010,48,3.2,24,1
6/8/2010,51,3.7,25,1
5/8/2010,51,4.7,25,1
4/8/2010,32,2.7,22,1
3/8/2010,14,2.1,26,1
2/8/2010,24,3,22,1
1/8/2010,24,2.6,23,1
31/7/2010,30,4,24,1
30/7/2010,31,2.9,23,1
29/7/2010,38,3.5,19,1
28/7/2010,34,3.8,22,1
27/7/2010,19,3.6,22,1
26/7/2010,33,4.4,24,1
25/7/2010,39,3.5,18,1
24/7/2010,47,5.5,25,1
23/7/2010,44,5,25,1
22/7/2010,36,3.1,22,1
21/7/2010,31,2.8,25,1
20/7/2010,30,3.7,26,1
19/7/2010,14,3.2,24,1
18/7/2010,14,2.8,22,1
17/7/2010,14,2.8,24,1
16/7/2010,16,2.5,25,1
15/7/2010,25,3.6,26,1
14/7/2010,17,2.4,24,1
13/7/2010,30,4.3,23,1
12/7/2010,34,3.4,21,1
11/7/2010,36,4.5,22,1
10/7/2010,22,3.9,23,1
9/7/2010,17,5.6,21,1
8/7/2010,13,1.6,25,1
7/7/2010,13,1.5,20,1
6/7/2010,25,2.3,26,1
5/7/2010,27,2.1,22,1
4/7/2010,14,2.6,25,1
3/7/2010,13,0.8,21,1
2/7/2010,13,3.4,25,1
1/7/2010,13,1.5,24,1
30/6/2010,11,0.8,23,1
29/6/2010,22,2.9,23,1
28/6/2010,11,0.7,24,1
27/6/2010,11,1.8,20,1
26/6/2010,18,4.3,19,1
25/6/2010,17,4.7,18,1
24/6/2010,12,1.7,20,1
23/6/2010,14,0.8,20,1
22/6/2010,15,1.5,19,1
21/6/2010,14,1.4,20,1
20/6/2010,18,1.9,13,1
19/6/2010,26,3.7,18,1
18/6/2010,12,1.4,17,1
17/6/2010,12,2.6,21,1
16/6/2010,0,2,18,1
15/6/2010,0,2,22,1
14/6/2010,14,4.7,19,1
13/6/2010,25,3.5,16,1
12/6/2010,46,4.7,21,1
11/6/2010,46,5,22,1
10/6/2010,39,3.6,20,1
9/6/2010,29,2.6,17,1
8/6/2010,14,1.6,21,1
7/6/2010,18,6.6,23,1
6/6/2010,12,1.1,23,1
5/6/2010,26,2.5,20,1
4/6/2010,28,2.8,23,1
3/6/2010,21,1.2,25,1
2/6/2010,18,1.1,21,1
1/6/2010,15,2.7,14,1
31/5/2010,18,5.7,16,1
30/5/2010,29,6.1,17,1
29/5/2010,19,4.8,19,1
28/5/2010,13,1.5,23,1
27/5/2010,13,1.3,21,1
26/5/2010,16,1.7,15,1
25/5/2010,24,2.7,25,1
24/5/2010,19,1.1,19,1
23/5/2010,22,1.3,17,1
22/5/2010,21,0.8,20,1
21/5/2010,14,1.5,24,1
20/5/2010,0,2,18,1
19/5/2010,0,2,14,1
18/5/2010,0,2,20,1
17/5/2010,0,2,19,1
16/5/2010,0,2,20,1
15/5/2010,0,2,16,1
14/5/2010,0,2,17,1
13/5/2010,0,2,15,1
12/5/2010,0,2,17,1
11/5/2010,0,2,12,1
10/5/2010,0,2,20,1
9/5/2010,0,2,23,1
8/5/2010,16,6.9,18,1
7/5/2010,16,4.3,13,1
6/5/2010,19,4.5,18,1
5/5/2010,47,3.7,19,1
4/5/2010,51,5.6,22,1
3/5/2010,40,5.4,15,1
2/5/2010,21,5.8,19,1
1/5/2010,13,2.7,22,1
30/4/2010,9,2.9,23,1
29/4/2010,0,2,22,1
28/4/2010,10,5.1,22,1
27/4/2010,0,2,17,1
26/4/2010,0,2,21,1
25/4/2010,16,8.2,20,1
24/4/2010,0,2,24,1
23/4/2010,0,2,19,1
22/4/2010,9,4.1,18,1
21/4/2010,9,5.3,23,1
20/4/2010,0,2,22,1
19/4/2010,0,2,21,1
18/4/2010,0,2,21,1
17/4/2010,0,2,20,1
16/4/2010,0,2,17,1
15/4/2010,0,2,17,1
14/4/2010,0,2,20,1
13/4/2010,9,1.6,16,1
12/4/2010,10,1.5,19,1
11/4/2010,10,6.8,17,1
10/4/2010,10,2.5,22,1
9/4/2010,9,1,22,1
8/4/2010,29,4.7,22,1
7/4/2010,21,2.2,20,1
6/4/2010,25,1.9,23,1
5/4/2010,34,3.3,11,1
4/4/2010,33,5.3,15,1
3/4/2010,24,1.3,17,1
2/4/2010,22,1.1,18,1
1/4/2010,22,1.2,23,1
31/3/2010,27,1.5,18,1
30/3/2010,33,2.2,18,1
29/3/2010,33,2.1,20,1
28/3/2010,31,2.4,20,1
27/3/2010,34,2.9,19,1
26/3/2010,22,1.9,16,1
25/3/2010,23,2.9,17,1
24/3/2010,17,1.2,19,1
23/3/2010,14,3.2,19,1
22/3/2010,17,1.9,23,1
21/3/2010,22,3.2,12,1
20/3/2010,14,1.5,19,1
19/3/2010,22,2.3,17,1
18/3/2010,30,2.4,21,1
17/3/2010,28,2.4,22,1
16/3/2010,23,2.9,23,1
15/3/2010,27,3.2,19,1
14/3/2010,33,2.2,13,1
13/3/2010,31,3.3,11,1
12/3/2010,36,2.8,13,1
11/3/2010,34,2,17,1
10/3/2010,0,2,20,1
9/3/2010,0,2,20,1
8/3/2010,17,13.1,17,1
7/3/2010,12,3.4,15,1
6/3/2010,0,2,16,1
5/3/2010,28,7.5,19,1
4/3/2010,39,3.4,18,1
3/3/2010,36,3.2,22,1
2/3/2010,37,3.6,20,1
1/3/2010,23,2.6,21,1
28/2/2010,14,1.7,14,1
27/2/2010,14,2.1,14,1
26/2/2010,27,2.5,12,1
25/2/2010,29,1.4,22,1
24/2/2010,30,2.9,18,1
23/2/2010,15,1.7,12,1
22/2/2010,17,2.7,11,1
21/2/2010,17,1,14,1
20/2/2010,20,1.1,17,1
19/2/2010,20,1.2,10,1
18/2/2010,23,2.7,14,1
17/2/2010,43,8.2,9,1
16/2/2010,30,2.8,14,1
15/2/2010,30,1.5,8,1
14/2/2010,33,3.1,11,1
13/2/2010,43,3.8,11,1
12/2/2010,41,3.7,10,1
11/2/2010,44,3,7,1
10/2/2010,50,5.1,12,1
9/2/2010,56,3.6,16,1
8/2/2010,59,2.7,14,1
7/2/2010,38,3.8,11,1
6/2/2010,36,3.1,15,1
5/2/2010,12,1.4,17,1
4/2/2010,12,0.7,18,1
3/2/2010,14,0.8,15,1
2/2/2010,14,0.7,14,1
1/2/2010,17,0.7,16,1
31/1/2010,16,0.9,18,1
30/1/2010,12,5.8,20,1
29/1/2010,12,0.5,13,1
28/1/2010,12,0.7,12,1
27/1/2010,13,1.2,18,1
26/1/2010,25,3.3,21,1
25/1/2010,34,2.2,10,1
24/1/2010,38,2.2,14,1
23/1/2010,38,2.4,16,1
22/1/2010,31,3.8,16,1
21/1/2010,18,1.1,10,1
20/1/2010,13,3.6,15,1
19/1/2010,0,2,12,1
18/1/2010,13,2.7,10,1
17/1/2010,18,0.9,15,1
16/1/2010,23,1.9,8,1
15/1/2010,26,1.3,13,1
14/1/2010,26,2.1,15,1
13/1/2010,31,2.1,11,1
12/1/2010,35,3.1,3,1
11/1/2010,37,2.8,5,1
10/1/2010,22,2.1,11,1
9/1/2010,15,1.3,9,1
8/1/2010,15,4.6,12,1
7/1/2010,0,2,14,1
6/1/2010,0,2,13,1
5/1/2010,10,2.3,17,1
4/1/2010,15,0.8,14,1
3/1/2010,16,2,17,1
2/1/2010,21,1.2,16,1
1/1/2010,18,1.3,15,1
31/12/2009,21,1,11,1
30/12/2009,18,0.9,7,1
29/12/2009,18,0.7,14,1
28/12/2009,18,1.3,19,1
27/12/2009,15,0.8,14,1
26/12/2009,14,6.6,17,1
25/12/2009,0,2,12,1
24/12/2009,20,8.8,14,1
23/12/2009,26,4.6,17,1
22/12/2009,33,4.6,11,1
21/12/2009,46,6.8,12,1
20/12/2009,44,3.8,12,1
19/12/2009,24,2.4,14,1
18/12/2009,23,2.1,17,1
17/12/2009,26,2.2,11,1
16/12/2009,33,2.5,14,1
15/12/2009,36,4,20,1
14/12/2009,30,2.6,17,1
13/12/2009,14,1.6,15,1
12/12/2009,12,1.2,11,1
11/12/2009,12,1.7,9,1
10/12/2009,12,1.4,17,1
9/12/2009,11,7.7,12,1
8/12/2009,0,2,13,1
7/12/2009,0,2,14,1
6/12/2009,0,2,10,1
5/12/2009,0,2,11,1
4/12/2009,0,2,14,1
3/12/2009,0,2,11,1
2/12/2009,0,2,13,1
1/12/2009,0,2,12,1
30/11/2009,0,2,13,1
29/11/2009,0,2,9,1
28/11/2009,0,2,15,1
27/11/2009,0,2,15,1
26/11/2009,0,2,22,1
25/11/2009,0,2,17,1
24/11/2009,0,2,9,1
23/11/2009,0,2,14,1
22/11/2009,13,4,11,1
21/11/2009,15,2.6,17,1
20/11/2009,25,4.4,19,1
19/11/2009,29,6.2,17,1
18/11/2009,12,3.6,18,1
17/11/2009,0,2,8,1
16/11/2009,13,2.4,13,1
15/11/2009,12,1.5,14,1
14/11/2009,13,7.6,19,1
13/11/2009,12,4.1,13,1
12/11/2009,0,2,13,1
11/11/2009,12,3.9,13,1
10/11/2009,12,1.3,15,1
9/11/2009,13,2.3,15,1
8/11/2009,0,2,14,1
7/11/2009,0,2,19,1
6/11/2009,13,2,15,1
5/11/2009,12,3.8,17,1
4/11/2009,0,2,17,1
3/11/2009,0,2,15,1
2/11/2009,0,2,21,1
1/11/2009,0,2,15,1
31/10/2009,0,2,22,1
30/10/2009,18,1.2,24,1
29/10/2009,26,1.8,18,1
28/10/2009,32,3.5,22,1
27/10/2009,32,2.8,21,1
26/10/2009,32,2.6,16,1
25/10/2009,30,4.9,17,1
24/10/2009,26,3.5,13,1
23/10/2009,18,3.9,20,1
22/10/2009,0,2,16,1
21/10/2009,0,2,15,1
20/10/2009,0,2,19,1
19/10/2009,0,2,22,1
18/10/2009,0,2,17,1
17/10/2009,0,2,18,1
16/10/2009,0,2,21,1
15/10/2009,0,2,20,1
14/10/2009,0,2,21,1
13/10/2009,0,2,22,1
12/10/2009,0,2,19,1
11/10/2009,13,6.2,15,1
10/10/2009,0,2,17,1
9/10/2009,0,2,19,1
8/10/2009,0,2,21,1
7/10/2009,0,2,13,1
6/10/2009,0,2,8,1
5/10/2009,0,2,12,1
4/10/2009,0,2,21,1
3/10/2009,0,2,15,1
2/10/2009,0,2,19,1
1/10/2009,11,5.3,21,1
30/9/2009,12,2.1,18,1
29/9/2009,15,2.4,15,1
28/9/2009,17,1.8,20,1
27/9/2009,12,0.7,21,1
26/9/2009,15,1.7,23,1
25/9/2009,28,2.8,24,1
24/9/2009,33,3.1,25,1
23/9/2009,33,1.9,16,1
22/9/2009,22,3.9,23,1
21/9/2009,13,3.4,20,1
20/9/2009,0,2,20,1
19/9/2009,0,2,24,1
18/9/2009,0,2,25,1
17/9/2009,0,2,22,1
16/9/2009,0,2,18,1
15/9/2009,0,2,16,1
14/9/2009,0,2,18,1
13/9/2009,0,2,22,1
12/9/2009,0,2,21,1
11/9/2009,0,2,24,1
10/9/2009,0,2,22,1
9/9/2009,0,2,20,1
8/9/2009,0,2,25,1
7/9/2009,0,2,24,1
6/9/2009,0,2,21,1
5/9/2009,0,2,23,1
4/9/2009,0,2,18,1
3/9/2009,0,2,19,1
2/9/2009,0,2,21,1
1/9/2009,13,3.1,20,1
31/8/2009,0,2,21,1
30/8/2009,0,2,21,1
29/8/2009,0,2,21,1
28/8/2009,0,2,22,1
27/8/2009,0,2,26,1
26/8/2009,0,2,23,1
25/8/2009,0,2,21,1
24/8/2009,0,2,21,1
23/8/2009,0,2,23,1
22/8/2009,0,2,23,1
21/8/2009,0,2,19,1
20/8/2009,0,2,25,1
19/8/2009,0,2,24,1
18/8/2009,0,2,25,1
17/8/2009,0,2,24,1
16/8/2009,0,2,26,1
15/8/2009,0,2,26,1
14/8/2009,0,2,25,1
13/8/2009,0,2,23,1
12/8/2009,0,2,22,1
11/8/2009,0,2,19,1
10/8/2009,0,2,21,1
9/8/2009,0,2,19,1
8/8/2009,0,2,19,1
7/8/2009,0,2,22,1
6/8/2009,0,2,22,1
5/8/2009,0,2,23,1
4/8/2009,0,2,22,1
3/8/2009,0,2,22,1
2/8/2009,0,2,18,1
1/8/2009,0,2,23,1
31/7/2009,0,2,22,1
30/7/2009,12,7.2,25,1
29/7/2009,0,2,23,1
28/7/2009,0,2,24,1
27/7/2009,0,2,23,1
26/7/2009,0,2,24,1
25/7/2009,0,2,23,1
24/7/2009,0,2,23,1
23/7/2009,12,4.2,20,1
22/7/2009,0,2,19,1
21/7/2009,0,2,20,1
20/7/2009,0,2,20,1
19/7/2009,0,2,19,1
18/7/2009,0,2,19,1
17/7/2009,0,2,20,1
16/7/2009,0,2,23,1
15/7/2009,0,2,24,1
14/7/2009,0,2,21,1
13/7/2009,0,2,22,1
12/7/2009,0,2,23,1
11/7/2009,0,2,18,1
10/7/2009,15,2.4,20,1
9/7/2009,17,2.6,23,1
8/7/2009,21,1.9,22,1
7/7/2009,19,2,21,1
6/7/2009,24,2.4,22,1
5/7/2009,27,2.4,23,1
4/7/2009,24,2.8,24,1
3/7/2009,0,2,18,1
2/7/2009,0,2,22,1
1/7/2009,0,2,21,1
30/6/2009,0,2,21,1
29/6/2009,0,2,21,1
28/6/2009,0,2,20,1
27/6/2009,0,2,18,1
26/6/2009,0,2,20,1
